year,nuts3,nuts3_key,cohort,value
2033,Ireland,ireland,65+,5683.8
2033,Ireland,ireland,85+,884.9
2033,Mid-East,mid east,15–64,3535.4
2033,Mid-East,mid east,65+,807.2
2033,Mid-East,mid east,85+,116.8
2033,Mid-West,mid west,15–64,2149.2
2033,Mid-West,mid west,65+,603.1
2033,Mid-West,mid west,85+,95.6
2033,Midland,midland,15–64,1395.3
2033,Midland,midland,65+,351.5
2033,Midland,midland,85+,52
2033,South-East,south east,15–64,2001.2
2033,South-East,south east,65+,550.7
2033,South-East,south east,85+,86.1
2033,South-West,south west,15–64,3240
2033,South-West,south west,65+,859.1
2033,South-West,south west,85+,136.9
2033,West,west,15–64,2108.3
2033,West,west,65+,581.7
2033,West,west,85+,92.5
2034,Border,border,15–64,1771.4
2034,Border,border,65+,512.1
2034,Border,border,85+,84.4
2034,Dublin,dublin,15–64,6856.9
2034,Dublin,dublin,65+,1462.7
2034,Dublin,dublin,85+,237
2034,Ireland,ireland,15–64,23117.7
2034,Ireland,ireland,65+,5812.5
2034,Ireland,ireland,85+,936.6
2034,Mid-East,mid east,15–64,3559.6
2034,Mid-East,mid east,65+,831.9
2034,Mid-East,mid east,85+,124.2
2034,Mid-West,mid west,15–64,2151.9
2034,Mid-West,mid west,65+,613.5
2034,Mid-West,mid west,85+,102.1
2034,Midland,midland,15–64,1399.1
2034,Midland,midland,65+,359.4
2034,Midland,midland,85+,54.5
2034,South-East,south east,15–64,2010.6
2034,South-East,south east,65+,564.2
2034,South-East,south east,85+,90.5
2034,South-West,south west,15–64,3249.5
2034,South-West,south west,65+,876.2
2034,South-West,south west,85+,144.5
2034,West,west,15–64,2117.1
2034,West,west,65+,592.9
2034,West,west,85+,98.6
2035,Border,border,15–64,1774.4
2035,Border,border,65+,521.7
2035,Border,border,85+,89
2035,Dublin,dublin,15–64,6880.1
2035,Dublin,dublin,65+,1502.7
2035,Dublin,dublin,85+,249.1
2035,Ireland,ireland,15–64,23184.1
2035,Ireland,ireland,65+,5957.3
2035,Ireland,ireland,85+,988.2
2035,Mid-East,mid east,15–64,3579.6
2035,Mid-East,mid east,65+,860.9
2035,Mid-East,mid east,85+,132.3
2035,Mid-West,mid west,15–64,2151.6
2035,Mid-West,mid west,65+,625.4
2035,Mid-West,mid west,85+,108.6
2035,Midland,midland,15–64,1401.2
2035,Midland,midland,65+,368.9
2035,Midland,midland,85+,57.6
2035,South-East,south east,15–64,2016.5
2035,South-East,south east,65+,576.2
2035,South-East,south east,85+,95.1
2035,South-West,south west,15–64,3256.5
2035,South-West,south west,65+,897.3
2035,South-West,south west,85+,151.3
2035,West,west,15–64,2122.5
2035,West,west,65+,605.1
2035,West,west,85+,104.6
2036,Border,border,15–64,1777.7
2036,Border,border,65+,530.4
2036,Border,border,85+,94.2
2036,Dublin,dublin,15–64,6896.2
2036,Dublin,dublin,65+,1544.6
2036,Dublin,dublin,85+,259.9
2036,Ireland,ireland,15–64,23228.3
2036,Ireland,ireland,65+,6108.1
2036,Ireland,ireland,85+,1037.7
2036,Mid-East,mid east,15–64,3595.9
2036,Mid-East,mid east,65+,890.8
2036,Mid-East,mid east,85+,139.6
2036,Mid-West,mid west,15–64,2149
2036,Mid-West,mid west,65+,638.8
2036,Mid-West,mid west,85+,113.2
2036,Midland,midland,15–64,1402.9
2036,Midland,midland,65+,378.7
2036,Midland,midland,85+,60.7
2036,South-East,south east,15–64,2022.2
2036,South-East,south east,65+,589.4
2036,South-East,south east,85+,100
2036,South-West,south west,15–64,3258.8
2036,South-West,south west,65+,917.7
2036,South-West,south west,85+,158.7
2036,West,west,15–64,2126.1
2036,West,west,65+,616.5
2036,West,west,85+,110.2
2037,Border,border,15–64,1780.2
2037,Border,border,65+,541.1
2037,Border,border,85+,98.5
2037,Dublin,dublin,15–64,6905.8
2037,Dublin,dublin,65+,1589.8
2037,Dublin,dublin,85+,273.7
2037,Ireland,ireland,15–64,23264.9
2037,Ireland,ireland,65+,6268.5
2037,Ireland,ireland,85+,1089.7
2037,Mid-East,mid east,15–64,3612.3
2037,Mid-East,mid east,65+,923.1
2037,Mid-East,mid east,85+,147
2037,Mid-West,mid west,15–64,2147.9
2037,Mid-West,mid west,65+,651
2037,Mid-West,mid west,85+,119.2
2037,Midland,midland,15–64,1404.1
2037,Midland,midland,65+,389.5
2037,Midland,midland,85+,64.9
2037,South-East,south east,15–64,2025.7
2037,South-East,south east,65+,605.6
2037,South-East,south east,85+,105.4
2037,South-West,south west,15–64,3260.5
2037,South-West,south west,65+,939.2
2037,South-West,south west,85+,167.1
2037,West,west,15–64,2128.1
2037,West,west,65+,629.7
2037,West,west,85+,115.1
2038,Border,border,15–64,1781.2
2038,Border,border,65+,550.5
2038,Border,border,85+,103.4
2038,Dublin,dublin,15–64,6915.5
2038,Dublin,dublin,65+,1634.5
2038,Dublin,dublin,85+,286.8
2038,Ireland,ireland,15–64,23294.8
2038,Ireland,ireland,65+,6425.3
2038,Ireland,ireland,85+,1144.8
2038,Mid-East,mid east,15–64,3625.3
2038,Mid-East,mid east,65+,956.6
2038,Mid-East,mid east,85+,155.2
2038,Mid-West,mid west,15–64,2145
2038,Mid-West,mid west,65+,664.7
2038,Mid-West,mid west,85+,124.7
2038,Midland,midland,15–64,1405.2
2038,Midland,midland,65+,398.6
2038,Midland,midland,85+,67.5
2038,South-East,south east,15–64,2030.7
2038,South-East,south east,65+,619.2
2038,South-East,south east,85+,111
2038,South-West,south west,15–64,3262.7
2038,South-West,south west,65+,959.4
2038,South-West,south west,85+,175.4
2038,West,west,15–64,2132.1
2038,West,west,65+,642
2038,West,west,85+,120.7
2039,Border,border,15–64,1780.2
2039,Border,border,65+,560.1
2039,Border,border,85+,108.8
2039,Dublin,dublin,15–64,6920.3
2039,Dublin,dublin,65+,1682.7
2039,Dublin,dublin,85+,298.1
2039,Ireland,ireland,15–64,23312.5
2039,Ireland,ireland,65+,6582.7
2039,Ireland,ireland,85+,1193.1
2039,Mid-East,mid east,15–64,3636.9
2039,Mid-East,mid east,65+,988.6
2039,Mid-East,mid east,85+,162.2
2039,Mid-West,mid west,15–64,2142.5
2039,Mid-West,mid west,65+,677
2039,Mid-West,mid west,85+,129.8
2039,Midland,midland,15–64,1405
2039,Midland,midland,65+,407.1
2039,Midland,midland,85+,71.9
2039,South-East,south east,15–64,2036.7
2039,South-East,south east,65+,632.3
2039,South-East,south east,85+,115.3
2039,South-West,south west,15–64,3260.7
2039,South-West,south west,65+,980.5
2039,South-West,south west,85+,182.6
2039,West,west,15–64,2132.9
2039,West,west,65+,653.6
2039,West,west,85+,126.5
2040,Border,border,15–64,1778.3
2040,Border,border,65+,569.9
2040,Border,border,85+,112.4
2040,Dublin,dublin,15–64,6922.5
2040,Dublin,dublin,65+,1726.9
2040,Dublin,dublin,85+,310.4
2040,Ireland,ireland,15–64,23319.6
2040,Ireland,ireland,65+,6734.5
2040,Ireland,ireland,85+,1246.5
2040,Mid-East,mid east,15–64,3646.1
2040,Mid-East,mid east,65+,1018.4
2040,Mid-East,mid east,85+,170.4
2040,Mid-West,mid west,15–64,2139
2040,Mid-West,mid west,65+,689.5
2040,Mid-West,mid west,85+,135.4
2040,Midland,midland,15–64,1403.7
2040,Midland,midland,65+,417.7
2040,Midland,midland,85+,73.9
2040,South-East,south east,15–64,2040.3
2040,South-East,south east,65+,645.2
2040,South-East,south east,85+,120.6
2040,South-West,south west,15–64,3255.4
2040,South-West,south west,65+,1002.1
2040,South-West,south west,85+,190.2
2040,West,west,15–64,2134.5
2040,West,west,65+,665.1
2040,West,west,85+,132.7
2041,Border,border,15–64,1776.3
2041,Border,border,65+,579.5
2041,Border,border,85+,116.6
2041,Dublin,dublin,15–64,6923.1
2041,Dublin,dublin,65+,1772.9
2041,Dublin,dublin,85+,322.5
2041,Ireland,ireland,15–64,23318.7
2041,Ireland,ireland,65+,6889.6
2041,Ireland,ireland,85+,1296.6
2041,Mid-East,mid east,15–64,3655.2
2041,Mid-East,mid east,65+,1049.6
2041,Mid-East,mid east,85+,178.7
2041,Mid-West,mid west,15–64,2133.8
2041,Mid-West,mid west,65+,701.2
2041,Mid-West,mid west,85+,140.8
2041,Midland,midland,15–64,1403.7
2041,Midland,midland,65+,426.9
2041,Midland,midland,85+,76.7
2041,South-East,south east,15–64,2043.6
2041,South-East,south east,65+,658.1
2041,South-East,south east,85+,124
2041,South-West,south west,15–64,3249.7
