STATISTIC Label,Year,Quarter,County,UNIT,VALUE
New Dwelling Completion,2012,Q1,Dún Laoghaire Rathdown,Number,13
New Dwelling Completion,2012,Q1,Donegal,Number,114
New Dwelling Completion,2012,Q1,Fingal,Number,29
New Dwelling Completion,2012,Q1,Galway,Number,77
New Dwelling Completion,2012,Q1,Galway City,Number,6
New Dwelling Completion,2012,Q1,Kildare,Number,51
New Dwelling Completion,2012,Q1,Kilkenny,Number,26
New Dwelling Completion,2012,Q1,Kerry,Number,46
New Dwelling Completion,2012,Q1,Longford,Number,17
New Dwelling Completion,2012,Q1,Louth,Number,23
New Dwelling Completion,2012,Q1,Limerick City &,Number,27
New Dwelling Completion,2012,Q1,Leitrim,Number,15
New Dwelling Completion,2012,Q1,Laois,Number,24
New Dwelling Completion,2012,Q1,Meath,Number,41
New Dwelling Completion,2012,Q1,Monaghan,Number,42
New Dwelling Completion,2012,Q1,Mayo,Number,41
New Dwelling Completion,2012,Q1,Offaly,Number,15
New Dwelling Completion,2012,Q1,Roscommon,Number,19
New Dwelling Completion,2012,Q1,South Dublin,Number,11
New Dwelling Completion,2012,Q1,Sligo,Number,62
New Dwelling Completion,2012,Q1,Tipperary,Number,40
New Dwelling Completion,2012,Q1,Waterford City &,Number,18
New Dwelling Completion,2012,Q1,Westmeath,Number,24
New Dwelling Completion,2012,Q1,Wicklow,Number,23
New Dwelling Completion,2012,Q1,Wexford,Number,47
New Dwelling Completion,2012,Q2,Ireland,Number,1117
New Dwelling Completion,2012,Q2,Cork City,Number,27
New Dwelling Completion,2012,Q2,Clare,Number,38
New Dwelling Completion,2012,Q2,Cavan,Number,23
New Dwelling Completion,2012,Q2,Cork,Number,115
New Dwelling Completion,2012,Q2,Carlow,Number,10
New Dwelling Completion,2012,Q2,Dublin City,Number,37
New Dwelling Completion,2012,Q2,Dún Laoghaire Rathdown,Number,11
New Dwelling Completion,2012,Q2,Donegal,Number,74
New Dwelling Completion,2012,Q2,Fingal,Number,29
New Dwelling Completion,2012,Q2,Galway,Number,71
New Dwelling Completion,2012,Q2,Galway City,Number,7
New Dwelling Completion,2012,Q2,Kildare,Number,44
New Dwelling Completion,2012,Q2,Kilkenny,Number,18
New Dwelling Completion,2012,Q2,Kerry,Number,48
New Dwelling Completion,2012,Q2,Longford,Number,24
New Dwelling Completion,2012,Q2,Louth,Number,28
New Dwelling Completion,2012,Q2,Limerick City &,Number,55
New Dwelling Completion,2012,Q2,Leitrim,Number,7
New Dwelling Completion,2012,Q2,Laois,Number,43
New Dwelling Completion,2012,Q2,Meath,Number,47
New Dwelling Completion,2012,Q2,Monaghan,Number,18
New Dwelling Completion,2012,Q2,Mayo,Number,56
New Dwelling Completion,2012,Q2,Offaly,Number,18
New Dwelling Completion,2012,Q2,Roscommon,Number,25
New Dwelling Completion,2012,Q2,South Dublin,Number,23
New Dwelling Completion,2012,Q2,Sligo,Number,67
New Dwelling Completion,2012,Q2,Tipperary,Number,30
New Dwelling Completion,2012,Q2,Waterford City &,Number,19
New Dwelling Completion,2012,Q2,Westmeath,Number,18
New Dwelling Completion,2012,Q2,Wicklow,Number,38
New Dwelling Completion,2012,Q2,Wexford,Number,49
New Dwelling Completion,2012,Q3,Ireland,Number,1205
New Dwelling Completion,2012,Q3,Cork City,Number,26
New Dwelling Completion,2012,Q3,Clare,Number,39
New Dwelling Completion,2012,Q3,Cavan,Number,23
New Dwelling Completion,2012,Q3,Cork,Number,129
New Dwelling Completion,2012,Q3,Carlow,Number,11
New Dwelling Completion,2012,Q3,Dublin City,Number,68
New Dwelling Completion,2012,Q3,Dún Laoghaire Rathdown,Number,33
New Dwelling Completion,2012,Q3,Donegal,Number,92
New Dwelling Completion,2012,Q3,Fingal,Number,24
New Dwelling Completion,2012,Q3,Galway,Number,72
New Dwelling Completion,2012,Q3,Galway City,Number,4
New Dwelling Completion,2012,Q3,Kildare,Number,42
New Dwelling Completion,2012,Q3,Kilkenny,Number,21
New Dwelling Completion,2012,Q3,Kerry,Number,40
New Dwelling Completion,2012,Q3,Longford,Number,29
New Dwelling Completion,2012,Q3,Louth,Number,59
New Dwelling Completion,2012,Q3,Limerick City &,Number,47
New Dwelling Completion,2012,Q3,Leitrim,Number,13
New Dwelling Completion,2012,Q3,Laois,Number,31
New Dwelling Completion,2012,Q3,Meath,Number,42
New Dwelling Completion,2012,Q3,Monaghan,Number,27
New Dwelling Completion,2012,Q3,Mayo,Number,54
New Dwelling Completion,2012,Q3,Offaly,Number,23
New Dwelling Completion,2012,Q3,Roscommon,Number,16
New Dwelling Completion,2012,Q3,South Dublin,Number,20
New Dwelling Completion,2012,Q3,Sligo,Number,22
New Dwelling Completion,2012,Q3,Tipperary,Number,57
New Dwelling Completion,2012,Q3,Waterford City &,Number,23
New Dwelling Completion,2012,Q3,Westmeath,Number,21
New Dwelling Completion,2012,Q3,Wicklow,Number,58
New Dwelling Completion,2012,Q3,Wexford,Number,39
New Dwelling Completion,2012,Q4,Ireland,Number,1458
New Dwelling Completion,2012,Q4,Cork City,Number,22
New Dwelling Completion,2012,Q4,Clare,Number,39
New Dwelling Completion,2012,Q4,Cavan,Number,33
New Dwelling Completion,2012,Q4,Cork,Number,148
New Dwelling Completion,2012,Q4,Carlow,Number,17
New Dwelling Completion,2012,Q4,Dublin City,Number,71
New Dwelling Completion,2012,Q4,Dún Laoghaire Rathdown,Number,34
New Dwelling Completion,2012,Q4,Donegal,Number,78
New Dwelling Completion,2012,Q4,Fingal,Number,49
New Dwelling Completion,2012,Q4,Galway,Number,91
New Dwelling Completion,2012,Q4,Galway City,Number,5
New Dwelling Completion,2012,Q4,Kildare,Number,70
New Dwelling Completion,2012,Q4,Kilkenny,Number,44
New Dwelling Completion,2012,Q4,Kerry,Number,84
New Dwelling Completion,2012,Q4,Longford,Number,7
New Dwelling Completion,2012,Q4,Louth,Number,81
New Dwelling Completion,2012,Q4,Limerick City &,Number,108
New Dwelling Completion,2012,Q4,Leitrim,Number,9
New Dwelling Completion,2012,Q4,Laois,Number,26
New Dwelling Completion,2012,Q4,Meath,Number,63
New Dwelling Completion,2012,Q4,Monaghan,Number,15
New Dwelling Completion,2012,Q4,Mayo,Number,45
New Dwelling Completion,2012,Q4,Offaly,Number,26
New Dwelling Completion,2012,Q4,Roscommon,Number,16
New Dwelling Completion,2012,Q4,South Dublin,Number,75
New Dwelling Completion,2012,Q4,Sligo,Number,18
New Dwelling Completion,2012,Q4,Tipperary,Number,41
New Dwelling Completion,2012,Q4,Waterford City &,Number,38
New Dwelling Completion,2012,Q4,Westmeath,Number,20
New Dwelling Completion,2012,Q4,Wicklow,Number,30
New Dwelling Completion,2012,Q4,Wexford,Number,55
New Dwelling Completion,2013,Q1,Ireland,Number,889
New Dwelling Completion,2013,Q1,Cork City,Number,16
New Dwelling Completion,2013,Q1,Clare,Number,27
New Dwelling Completion,2013,Q1,Cavan,Number,15
New Dwelling Completion,2013,Q1,Cork,Number,88
New Dwelling Completion,2013,Q1,Carlow,Number,7
New Dwelling Completion,2013,Q1,Dublin City,Number,36
New Dwelling Completion,2013,Q1,Dún Laoghaire Rathdown,Number,22
New Dwelling Completion,2013,Q1,Donegal,Number,54
New Dwelling Completion,2013,Q1,Fingal,Number,27
New Dwelling Completion,2013,Q1,Galway,Number,75
New Dwelling Completion,2013,Q1,Galway City,Number,3
New Dwelling Completion,2013,Q1,Kildare,Number,34
New Dwelling Completion,2013,Q1,Kilkenny,Number,19
New Dwelling Completion,2013,Q1,Kerry,Number,39
New Dwelling Completion,2013,Q1,Longford,Number,8
New Dwelling Completion,2013,Q1,Louth,Number,48
New Dwelling Completion,2013,Q1,Limerick City &,Number,46
New Dwelling Completion,2013,Q1,Leitrim,Number,10
New Dwelling Completion,2013,Q1,Laois,Number,13
New Dwelling Completion,2013,Q1,Meath,Number,36
New Dwelling Completion,2013,Q1,Monaghan,Number,16
New Dwelling Completion,2013,Q1,Mayo,Number,38
New Dwelling Completion,2013,Q1,Offaly,Number,12
New Dwelling Completion,2013,Q1,Roscommon,Number,22
New Dwelling Completion,2013,Q1,South Dublin,Number,28
New Dwelling Completion,2013,Q1,Sligo,Number,30
New Dwelling Completion,2013,Q1,Tipperary,Number,25
New Dwelling Completion,2013,Q1,Waterford City &,Number,23
